Ano_1998,Ano_1999,Ano_2000,Ano_2001,Ano_2002,Ano_2003,Ano_2004,Ano_2005,Ano_2006,Ano_2007,Ano_2008,Ano_2009,Ano_2010,Ano_2011,Ano_2012,Ano_2013,Ano_2014,Ano_2015,Ano_2016,Ano_2017,Ano_2018,Ano_2019
50.7,49.2,54.1,58.7,56.2,50.5,63,65.3,67.2,93,65.6,99.3,114.6,132,128.3,167.7,179,133.3,137.9,147.7,187.3,216.3
77.4,56.4,89.6,70.2,92,75.9,135.2,162.3,201.8,229.4,10.3,58.1,120.5,236.5,240.6,294.2,300.7,338.9,342.7,543.1,551.5,477.8
13.2,11.1,9.02,7.51,2.43,-22,0.877,1.42,6.48,7.94,-1.5,6.84,87.7,118.1,130,118,114.5,106.5,80.6,97.1,95.2,87.2
10.2,11.6,14.4,18.7,19.9,33.2,29,39.9,48.1,48.5,54.6,48.9,17,-4.21,-16.8,-6.11,21.8,103.2,84.8,115.4,103.8,70.8
0.504,1.2,6.11,8.86,8.62,11.8,16.9,25.5,28.9,39.4,20.5,12,11.4,11.1,10.5,2.07,3.16,-4.19,-19.1,46.3,12.5,10.3
8.2,7.3,7.41,9.82,9.75,13.8,15.1,6.32,-13.5,0.385,-41.4,-26.4,1.42,-4.67,-11,-17.5,-10.3,-45.6,-22.6,-9.7,-20.4,-22.1
5.42,4.47,4.97,0.836,-7.7,-9.01,1.35,1.77,2.55,0.028,-0.929,0.321,0.282,1.49,2.54,4.75,16.2,0.405,91.7,60.4,31.3,-54
10.5,8.51,10.3,11.5,11.2,8.29,10.5,21.8,27.5,37.1,49,82.1,93.5,118.5,164.6,221.8,267.2,212,241.9,435.3,432.5,381.4
102,103.2,108.8,98.5,98.8,147.5,193.5,145.6,85.3,135.6,94.9,50.6,48.4,-44.9,-75.8,17.2,-20.7,-248.6,83.8,513.3,452.6,284.3
4.98,6.14,5.84,5.28,5.85,6.65,7.2,11.7,16.2,25,45.1,53.2,41.3,52.9,67.6,91.2,45.9,26.9,50.2,235.5,125.3,149.7
17.4,19.9,25,31.3,39.9,44.3,52.6,57.7,37.2,49.7,60.9,68.2,94.3,125.5,168.3,208.7,241.8,272,280.2,330.9,302.3,270.6
16.5,17.2,13.5,14.3,12.2,7.62,7.65,9.37,14.4,23.6,13.5,7.36,16,19.3,19.1,20.3,20.7,26.2,24.5,17.6,4.92,3.83
5.97,5.14,5.27,4.6,4.94,5.24,4.61,2.72,4.13,3.48,4.61,5.5,5.83,5.91,5.61,6.83,4.38,7.56,11.6,18,24.6,26.4
40.2,41.5,38.1,38.4,28.4,40.8,47.2,47,56.2,72.8,94.1,136.8,149.3,142.7,111.2,147.6,146.6,91.1,72.1,18,61.6,63.1
2.7,4.22,5.7,5.47,6.54,11.3,19.3,26.5,26.1,30.5,24.6,17.4,42.6,175.1,149.1,77.7,70.2,67.8,74.7,65.7,62.9,43.5
12.4,18.4,10.3,14.4,23.1,38.7,39.4,-31.3,11,64.4,60.3,217.2,302.2,165.2,-137,54.5,-101.1,-132.2,-63.9,-54.7,-562.1,-19.7
42.6,47.3,51.4,36.1,69.4,87.7,114,112.6,261.4,296.7,37.3,-180,167.8,112.5,-5.77,58.6,52.7,-590.4,146.9,295.7,167.3,81.6
3.26,1.97,0.287,-5.52,-6.14,0.383,0.077,-1.77,0.153,-1.6,0.352,1.44,1.58,0.145,0.146,-0.147,8.16,7.72,25.6,41.8,48.1,63.9
4.63,8.71,6.49,2.69,-6.33,-95.2,-0.331,-4.8,-7.37,-3.81,7.1,1.33,4.41,4.04,19.1,30.1,58.6,84.2,106.3,151.3,171.5,138.5
18.9,17.9,8.71,5.2,4.84,1.82,-6.54,0.319,-7.18,13.3,-5.04,1.28,-2.09,29.8,27.9,17.2,17.8,7.02,41.6,41.5,45.1,27.5
22.4,16.3,11.1,5.62,5.42,-0.915,6.69,6.83,6.41,5.86,7.43,7.65,12.9,16.4,7.87,5.85,6.69,4.18,7.35,3.33,1.57,1.02
8.55,13,19.2,11,26.9,62.2,37.6,-178.4,-230,98.9,-125.2,-174.3,-292.7,35.6,-115.3,373,429.5,147.1,129.1,1375.9,296.3,-250.6
87,109.3,191,-77.7,-646.4,176.2,289.9,313.3,81.9,689.5,-1134.8,1008.9,549.4,-508.7,-880.1,408.1,339.1,1141,888.2,1655.2,865.2,-1602.7
86.9,35.6,26.6,93.7,0.46,46.8,128.8,181.7,29.4,200.3,-59.6,217.3,603.1,935.3,446.5,486.4,935.9,735.2,-97.6,-260.1,-575.7,-16.8
