,Marca,Modelo,Linha,Sim,Tizen,Amazon Prime Video,Globoplay,Netflix,Youtube,Acesso à Internet,Assistente Pessoal,Controle com Comando de Voz,Grava Programação,HDR,Conversor Digital Integrado e Interativo (DTVi),LED,Tamanho da Tela,4K,Frequência Nativa,Bluetooth,Tecnologia DLNA,Wi-Fi integrado,Espelhamento de Tela,HDMI,LAN (Rede),USB,3 HDMI,Altura com base,Altura sem base,Largura,Profundidade com base,Profundidade sem base,price (avg),price (med),WebOS,Conversor Digital Integrado,Facebook,OLED,Design da Tela,4 HDMI,Android,Controle por Smartphone,Controle com Função Mouse,Função Estádio,Nano Cristal,IPS (In Plane Switching),2 HDMI,Picture in Picture(PiP),QLED,Frequência Máxima,ConnectShare,Slim,Saphi,Disney Plus,Tela Plana,Neo QLED,Roku,Sistema Operacional,One Connect,PC,VA (Vertically Aligned),Suporte para Controle por Movimento,HDMI 2.1,HDMI 2.0,Ultra Slim,Linux,Cartão de Memória,Vidaa,Fone de Ouvido P2,NFC,Full HD,HD,Suporte para Wi-Fi,8K,LCD,Super Slim,Spotify,Potência (RMS),Smart TV
181,LG,55UN7310PSC,ThinQ AI,True,False,True,False,True,True,True,True,True,False,True,False,True,55.0,True,60.0,True,False,True,True,True,False,True,True,78.6,72.6,124.4,23.1,8.7,3557.2483333333334,3414.74,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
182,Philips,50PUG7625/78,False,True,False,True,False,True,True,True,False,False,False,True,True,True,50.0,True,60.0,True,False,True,True,True,True,True,True,71.7,64.7,156.7,31.9,8.7,2673.6216666666664,2449.99,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
183,LG,32LM625BPSB,ThinQ AI,True,False,True,False,True,True,True,False,False,False,True,False,True,32.0,False,60.0,True,False,True,True,True,True,True,True,False,44.5,74.2,False,8.7,1788.7983333333334,1737.045,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
184,Samsung,UN75AU7700GXZD,Crystal,True,True,True,False,True,True,True,True,True,False,True,True,True,75.0,True,60.0,True,True,True,True,True,True,True,True,104.7,95.8,167.3,34.1,5.9,7041.7283333333335,6418.93,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,120.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
185,AOC,32S5195,False,True,False,False,False,True,True,True,False,False,True,False,False,True,32.0,False,60.0,False,False,False,True,True,True,True,True,47.6,43.5,73.1,16.7,7.7,1501.6441666666667,1358.0900000000001,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
186,Semp,32S5300,False,True,False,False,True,True,True,True,True,True,False,True,False,True,32.0,False,60.0,True,False,True,False,True,True,True,False,48.1,False,73.2,17.2,False,1885.2283333333335,1907.0700000000002,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
187,TCL,32S615,Android TV,True,False,True,False,True,True,True,True,False,False,True,False,True,32.0,False,60.0,True,False,True,False,True,True,True,False,47.5,42.9,72.2,18.0,7.7,1607.5491666666667,1392.6999999999998,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
188,Samsung,QN55Q60AAGXZD,False,True,True,True,True,True,True,True,True,True,False,True,True,False,55.0,True,60.0,True,True,True,True,True,True,True,True,74.78,70.88,123.21,22.88,2.57,4326.505,3894.05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
189,Samsung,UN43T5300AGXZD,False,True,True,True,False,True,True,True,True,False,False,True,True,True,43.0,False,60.0,False,True,True,True,True,True,True,False,59.6,57.1,97.9,17.0,7.7,2389.5075,2103.5,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
190,Samsung,UN65AU8000GXZD,Crystal,True,True,True,True,True,True,True,True,True,True,True,True,True,65.0,True,60.0,True,False,True,False,True,True,True,True,87.43,83.18,145.09,28.18,2.57,5236.4766666666665,5049.33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
191,LG,32LM627BPSB,ThinQ AI,True,False,True,False,True,False,True,False,True,False,True,False,True,32.0,False,60.0,True,False,True,True,True,False,True,True,47.2,44.5,74.2,18.0,8.65,1581.8313333333333,1494.45,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
192,LG,43LM6370PSB,ThinQ AI,True,False,True,False,True,True,True,True,False,False,True,False,True,43.0,False,60.0,True,False,True,True,False,False,True,True,62.3,57.2,97.3,21.6,8.5,2236.4456666666665,2058.02,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
193,Philco,PTV42G52RCF,False,True,False,True,True,True,True,True,False,False,False,False,False,True,42.0,False,60.0,False,False,True,True,True,False,True,True,False,False,95.5,False,False,1930.9900833333334,1699.495,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
194,LG,50UP7550PSF,ThinQ AI,True,False,False,False,True,True,True,True,False,False,True,False,True,50.0,True,60.0,True,False,True,False,True,False,True,False,False,False,113.0,False,False,2870.3625,2679.495,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
195,LG,55UP751C,ThinQ AI,True,False,False,False,True,True,True,True,True,False,True,False,True,55.0,True,60.0,True,False,True,True,True,True,True,False,78.3,False,124.4,23.5,False,3377.2141666666666,3031.21,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
196,TCL,32S6500,False,True,False,False,True,True,True,True,False,True,False,True,True,True,32.0,False,60.0,True,True,True,False,True,True,True,False,48.1,43.2,73.2,17.2,7.9,1704.1266666666668,1559.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
197,Philco,PTV40G60SNBL,False,True,False,False,False,True,True,False,False,False,False,False,False,True,40.0,False,60.0,False,False,True,True,True,True,True,True,False,False,False,False,False,2107.4808333333335,2143.95,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
198,Philco,PTV42G70N5CF,False,True,False,True,True,True,True,True,False,False,False,False,False,True,42.0,False,60.0,False,False,True,False,True,True,True,True,False,54.0,95.5,False,7.5,2323.0933333333332,2099.9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
199,LG,60UP7750PSB,ThinQ AI,True,False,True,False,True,False,True,True,False,False,True,False,True,60.0,True,60.0,True,False,True,True,True,False,True,True,85.2,78.3,135.6,26.9,5.75,3987.3533333333335,3654.495,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
200,Samsung,UN75AU8000GXZD,Crystal,True,True,True,True,True,True,True,True,True,True,True,True,True,75.0,True,60.0,True,False,True,False,True,True,True,True,100.34,96.03,167.67,33.22,26.6,7908.824166666666,7299.45,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
201,HQ,HQSTV32NP,False,True,False,False,True,True,True,False,False,False,False,False,False,True,32.0,False,60.0,False,False,True,False,True,True,True,False,47.0,False,73.5,19.0,False,1492.1341666666667,1520.03,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
